Lawfirm Addons,إضافات مكتب المحاماة
Case Central,المركز القضائي
Case,قضية
Naming Series,سلسلة التسمية
CNR,CNR
Case Title,عنوان القضية
Matter,المادة
Service Abbr,اختصار الخدمة
Case Year,سنة القضية
Case No,رقم القضية
Service,الخدمة
Customer Name,اسم الموكل
Contact No,رقم الاتصال
Petitioner,المدعي
Respondent,المدعى عليه
Case History Details,تفاصيل سجل القضية
Case History,سجل القضية
Case Details,تفاصيل القضية
Court Number and Judge,رقم المحكمة والقاضي
Next Hearing Date,تاريخ الجلسة القادمة
Case Status,حالة القضية
Registration Number,رقم الملف
Case Type Abbr,اختصار نوع القضية
eCourt,المحكمة الإلكترونية
eCase Type,نوع القضية الإلكترونية
Filing Number,رقم الإيداع
Filing Year,سنة الإيداع
Scrutiny Status,حالة المراجعة
File Location,موقع الملف
Representing,صفة التمثيل
Representation Details,تفاصيل التمثيل
Customer,العميل
Company,الشركة
Branch,الفرع
Contact Email,البريد الإلكتروني
Date of Disposal,تاريخ الحسم
Date of Registration,تاريخ التسجيل
Date of Filing,تاريخ رفع الدعوى
Nature of Case,طبيعة القضية
Prayer Information,معلومات الطلبات
Prayer,الطلبات
Party Information,معلومات الأطراف
Petitioner Details,تفاصيل المدعي
Respondent Details,تفاصيل المدعى عليه
Nature of Disposal,طبيعة الحسم
Form 1,النموذج 1
Pleadings / Issues,المرافعات / النزاعات
Form 2,النموذج 2
IA Details,الطلبات المؤقتة
Evidence / TCR,الأدلة / TCR
Form 4,النموذج 4
Memos,المذكرات
Exhibits,المستندات
List of Exhibits for Plaintiff,قائمة مستندات المدعي
List of Exhibits for Defendant,قائمة مستندات المدعى عليه
Witnesses Examined,الشهود المستجوبون
List of Witnesses Examined for the Plaintiff,قائمة شهود المدعي
List of Witnesses Examined for the Defendant,قائمة شهود المدعى عليه
Pending,معلقة
InProgress,قيد النظر
Disposed,منتهية
NOC,لا مخاصمة
Not Complied,غير مستوفٍ
Complied,مستوفٍ
Appellant,مستأنف
Applicant,طالب
Complainant,مشتكٍ
Decree Holder,حائز الحكم
Plaintiff,مدعٍ
Accused,متهم
Defendant,مدعى عليه
Judgement Debtor,مدين بالحكم
Case Sessions,جلسات القضية
Registration No,رقم الملف
Session Date,تاريخ الجلسة
Court,المحكمة
Litigation Degree,درجة التقاضي
Case Number,رقم القضية
Chamber,الدائرة
Case Subject,موضوع القضية
Client,الموكل
Client Capacity,صفة الموكل
Opponent,الخصم
Opponent Capacity,صفة الخصم
Previous Decision,القرار السابق
Session Decision,قرار الجلسة
Next Session Date,تاريخ الجلسة القادمة
Facts Summary,ملخص الوقائع
Defense Summary,ملخص الدفاع
Attachments Note,ملاحظات المرفقات
Agent,الوكيل
Lawsuit Date,تاريخ الدعوى
Business Details,تفاصيل المعاملة
Decision,القرار
View Attachments,عرض المرفقات
Actions,إجراءات
Case Sessions Report,تقرير جدول الجلسات
File Number,رقم الملف
Case History Report,تقرير سجل الجلسات
From Date (Next Session),من تاريخ (الجلسة القادمة)
To Date (Next Session),إلى تاريخ (الجلسة القادمة)
From Date (Session Date),من تاريخ (تاريخ الجلسة)
To Date (Session Date),إلى تاريخ (تاريخ الجلسة)
From Date,من تاريخ
To Date,إلى تاريخ
